epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,808.039,1.29959,3.59135,1.319,0.38452,0.28994,0.27871,0.18225,1.43404,2.67438,1.36734,0.00333171,0.00333171,0.00333171
2,1602.95,1.43008,3.05771,1.41925,0.33214,0.2418,0.19823,0.12244,1.62899,2.96047,1.56253,0.00653307,0.00653307,0.00653307
3,2394.74,1.54895,3.22031,1.51589,0.32232,0.16572,0.14372,0.08641,1.76496,3.20655,1.72702,0.00960244,0.00960244,0.00960244
4,3181.55,1.60168,3.19149,1.57342,0.31711,0.21086,0.18241,0.1107,1.72375,2.89798,1.61376,0.009406,0.009406,0.009406
5,3979.85,1.548,2.96048,1.5314,0.34932,0.24727,0.22321,0.13948,1.67607,2.74398,1.5872,0.009208,0.009208,0.009208
6,4807.24,1.50861,2.82745,1.49636,0.36959,0.27607,0.25218,0.16136,1.59896,2.54443,1.52422,0.00901,0.00901,0.00901
7,5621.97,1.48187,2.7386,1.48022,0.3859,0.28558,0.27259,0.17684,1.57683,2.55653,1.51347,0.008812,0.008812,0.008812
8,6439.16,1.45924,2.66627,1.46211,0.42752,0.29455,0.28427,0.18526,1.5306,2.46689,1.46923,0.008614,0.008614,0.008614
9,7252.2,1.4378,2.59946,1.44379,0.41239,0.31396,0.3035,0.19753,1.51909,2.35452,1.45308,0.008416,0.008416,0.008416
10,8063.42,1.42366,2.54884,1.43297,0.41474,0.32463,0.3166,0.20888,1.49551,2.36193,1.43784,0.008218,0.008218,0.008218
11,8895.17,1.41006,2.51251,1.42158,0.44162,0.3277,0.32917,0.21881,1.46282,2.26525,1.41243,0.00802,0.00802,0.00802
12,9684.29,1.39529,2.47563,1.41056,0.4482,0.33855,0.33759,0.22579,1.44414,2.26653,1.41203,0.007822,0.007822,0.007822
13,10469.7,1.38843,2.44389,1.40479,0.43072,0.34856,0.34668,0.23289,1.44138,2.24023,1.40147,0.007624,0.007624,0.007624
14,11255.1,1.37544,2.41508,1.39615,0.46103,0.35062,0.35402,0.23849,1.43367,2.22543,1.39174,0.007426,0.007426,0.007426
15,12039.9,1.36839,2.39506,1.3904,0.46797,0.35205,0.36116,0.24433,1.41491,2.21439,1.38059,0.007228,0.007228,0.007228
16,12825,1.3594,2.35924,1.386,0.4569,0.3565,0.36304,0.24656,1.40919,2.17328,1.37451,0.00703,0.00703,0.00703
17,13614.5,1.35476,2.34771,1.38137,0.47411,0.3558,0.3711,0.25113,1.39995,2.15971,1.36691,0.006832,0.006832,0.006832
18,14431.1,1.34058,2.2991,1.36949,0.4618,0.37206,0.37717,0.25636,1.39227,2.13479,1.35893,0.006634,0.006634,0.006634
19,15276.2,1.3379,2.29823,1.36426,0.46771,0.37444,0.38107,0.26025,1.38358,2.10749,1.34894,0.006436,0.006436,0.006436
20,16086.4,1.33036,2.28078,1.36278,0.47576,0.37605,0.38484,0.26252,1.37763,2.0953,1.34591,0.006238,0.006238,0.006238
21,16872.1,1.32169,2.25238,1.35708,0.47398,0.38373,0.3874,0.26644,1.3685,2.09288,1.34119,0.00604,0.00604,0.00604
22,17666.3,1.31498,2.23709,1.34837,0.48267,0.37895,0.39058,0.26857,1.36531,2.06843,1.3365,0.005842,0.005842,0.005842
23,18469.2,1.31221,2.21783,1.34771,0.47865,0.38459,0.39279,0.2703,1.35911,2.06333,1.33261,0.005644,0.005644,0.005644
24,19273.9,1.30597,2.20026,1.3415,0.4753,0.38871,0.39564,0.27259,1.35787,2.05403,1.33017,0.005446,0.005446,0.005446
25,20058,1.30158,2.18621,1.34141,0.47735,0.39178,0.39745,0.27413,1.35475,2.04752,1.32801,0.005248,0.005248,0.005248
26,20893.1,1.29484,2.16998,1.33266,0.47702,0.39407,0.40011,0.27588,1.34938,2.03634,1.32469,0.00505,0.00505,0.00505
27,21697.5,1.29063,2.14488,1.33225,0.4782,0.39544,0.40138,0.27744,1.34694,2.03351,1.32272,0.004852,0.004852,0.004852
28,22482.7,1.27956,2.13257,1.3263,0.47799,0.39874,0.40314,0.27911,1.34411,2.03018,1.32095,0.004654,0.004654,0.004654
29,23302.9,1.27719,2.11235,1.32256,0.47768,0.40129,0.40563,0.28051,1.34247,2.02541,1.32005,0.004456,0.004456,0.004456
30,24101.5,1.27085,2.10474,1.31822,0.47365,0.40184,0.40725,0.28156,1.34105,2.02102,1.31845,0.004258,0.004258,0.004258
31,24901.8,1.26525,2.08681,1.31559,0.47921,0.40044,0.40799,0.28251,1.33877,2.01637,1.31639,0.00406,0.00406,0.00406
32,25696.8,1.26534,2.07519,1.31372,0.48458,0.40021,0.40911,0.28341,1.33664,2.01247,1.31424,0.003862,0.003862,0.003862
33,26497.4,1.25574,2.05665,1.30511,0.4782,0.4021,0.41011,0.28413,1.33468,2.00967,1.31222,0.003664,0.003664,0.003664
34,27304.4,1.24947,2.04338,1.29922,0.48233,0.40341,0.41124,0.28505,1.33387,2.00779,1.31156,0.003466,0.003466,0.003466
35,28112.8,1.24643,2.02826,1.29821,0.48335,0.40351,0.41243,0.2856,1.33286,2.00599,1.3108,0.003268,0.003268,0.003268
36,28924,1.23788,2.00827,1.29483,0.48408,0.40409,0.41321,0.28582,1.33196,2.00435,1.31026,0.00307,0.00307,0.00307
37,29734.7,1.23053,1.98824,1.29179,0.48376,0.40502,0.41411,0.28692,1.33122,2.0026,1.3097,0.002872,0.002872,0.002872
38,30547.6,1.22842,1.97924,1.28724,0.4841,0.40611,0.41472,0.28746,1.33057,2.00036,1.30886,0.002674,0.002674,0.002674
